chr	pos	strand	context	ratio	eff_CT_count	C_count	CT_count	rev_G_count	rev_GA_count	CI_lower	CI_upper
chr1	41351	+	CHH	0.000	9.00	0	9	4	4	0.000	0.299
chr1	41353	+	CHH	0.000	9.00	0	9	4	4	0.000	0.299
chr1	41356	+	CHH	0.000	8.00	0	8	4	4	0.000	0.324
chr1	41357	+	CHG	0.000	8.00	0	8	4	4	0.000	0.324
chr1	41359	-	CHG	0.000	4.00	0	4	8	8	0.000	0.490
chr1	41389	+	CHH	0.281	7.11	2	8	8	9	0.081	0.635
chr1	41392	+	CHH	0.375	8.00	3	9	8	9	0.137	0.694
chr1	41400	-	CHH	0.130	7.71	1	9	6	7	0.023	0.482
chr1	41404	+	CHH	0.125	8.00	1	8	9	9	0.022	0.471
chr1	41405	+	CHH	0.125	8.00	1	8	8	8	0.022	0.471
chr1	41407	+	CHG	0.000	8.00	0	8	8	8	0.000	0.324
chr1	41409	-	CHG	0.000	9.00	0	9	7	7	0.000	0.299
chr1	41410	+	CHH	0.000	8.00	0	8	9	9	0.000	0.324
chr1	41412	+	CHG	0.000	7.20	0	8	9	10	0.000	0.348
chr1	41414	-	CHG	0.000	8.57	0	10	6	7	0.000	0.309
chr1	41418	-	CHH	0.111	9.00	1	9	7	7	0.020	0.435
chr1	41426	+	CG	0.000	7.20	0	8	9	10	0.000	0.348
chr1	41427	-	CG	0.100	10.00	1	10	5	5	0.018	0.404
chr1	41432	-	CHH	0.000	12.00	0	12	5	5	0.000	0.243
chr1	41434	+	CHG	0.000	8.00	0	8	12	12	0.000	0.324
chr1	41435	+	CG	0.000	8.00	0	8	11	11	0.000	0.324
chr1	41436	-	CG	0.000	12.00	0	12	6	6	0.000	0.243
chr1	41437	-	CHG	0.000	13.00	0	13	7	7	0.000	0.228
chr1	41438	+	CHH	0.000	7.00	0	7	12	12	0.000	0.354
chr1	41445	-	CHH	0.000	12.00	0	14	6	7	0.000	0.243
chr1	41446	-	CHH	0.000	13.00	0	13	6	6	0.000	0.228
chr1	41447	+	CHH	0.000	6.00	0	6	14	14	0.000	0.390
chr1	41448	+	CHH	0.000	6.00	0	6	14	14	0.000	0.390
chr1	41453	+	CHH	0.000	5.00	0	5	14	14	-0.000	0.434
chr1	41454	+	CHH	0.000	5.00	0	5	14	14	-0.000	0.434
chr1	41466	+	CHH	0.000	5.00	0	5	15	15	-0.000	0.434
chr1	41468	+	CHG	0.000	7.00	0	7	15	15	0.000	0.354
chr1	41469	+	CG	0.000	5.00	0	5	15	15	-0.000	0.434
chr1	41470	-	CG	0.083	12.00	1	15	4	5	0.015	0.354
chr1	41471	+	CHH	0.000	5.00	0	5	14	14	-0.000	0.434
chr1	41472	+	CHH	0.000	5.00	0	5	15	15	-0.000	0.434
chr1	41475	+	CHG	0.000	5.00	0	5	15	15	-0.000	0.434
chr1	41477	-	CHG	0.000	15.00	0	15	5	5	-0.000	0.204
chr1	41479	-	CHH	0.000	15.00	0	15	5	5	-0.000	0.204
chr1	41480	+	CHG	0.200	5.00	1	5	15	15	0.036	0.624
chr1	41481	+	CG	0.000	5.00	0	5	15	15	-0.000	0.434
chr1	41482	-	CG	0.000	14.00	0	14	6	6	0.000	0.215
chr1	41485	-	CHH	0.062	16.00	1	16	7	7	0.011	0.283
chr1	41487	+	CHH	0.000	7.00	0	7	16	16	0.000	0.354
chr1	41492	+	CHH	0.286	7.00	2	7	17	17	0.082	0.641
chr1	41496	-	CHH	0.000	15.43	0	18	6	7	0.000	0.199
chr1	41497	+	CHH	0.167	6.00	1	6	18	18	0.030	0.564
chr1	41499	+	CHH	0.333	6.00	2	6	18	18	0.097	0.700
chr1	41511	+	CG	0.111	9.00	1	9	19	19	0.020	0.435
chr1	41512	-	CG	0.053	19.00	1	19	10	10	0.009	0.246
chr1	41513	-	CHG	0.105	19.00	2	19	10	10	0.029	0.314
chr1	41515	-	CHH	0.158	19.00	3	19	10	10	0.055	0.376
chr1	41529	+	CHH	0.333	12.00	4	12	15	15	0.138	0.609
chr1	41534	-	CHH	0.000	17.00	0	17	13	13	0.000	0.184
chr1	41535	+	CHH	0.076	13.18	1	14	16	17	0.014	0.330
chr1	41540	-	CHH	0.000	18.00	0	18	16	16	0.000	0.176
chr1	41545	-	CHH	0.059	17.00	1	18	17	18	0.010	0.270
chr1	41548	-	CHH	0.053	19.00	1	19	18	18	0.009	0.246
chr1	41568	+	CHH	0.074	27.00	2	27	16	16	0.021	0.234
chr1	41576	+	CHH	0.000	30.00	0	30	17	17	-0.000	0.114
chr1	41578	+	CHH	0.000	30.00	0	30	16	16	-0.000	0.114
chr1	41579	+	CHH	0.000	30.00	0	30	15	15	-0.000	0.114
chr1	41580	+	CHH	0.000	31.00	0	31	15	15	-0.000	0.110
chr1	41585	+	CHH	0.000	32.00	0	32	14	14	0.000	0.107
chr1	41586	+	CHH	0.031	32.00	1	32	14	14	0.006	0.157
chr1	41587	+	CHH	0.030	33.00	1	33	14	14	0.005	0.153
chr1	41588	+	CHH	0.000	33.00	0	33	14	14	0.000	0.104
chr1	41593	-	CHH	0.000	13.59	0	14	33	34	-0.000	0.220
chr1	41595	+	CHH	0.057	35.00	2	35	15	15	0.016	0.186
chr1	41598	-	CHH	0.067	15.00	1	15	36	36	0.012	0.298
chr1	41610	-	CHH	0.000	18.00	0	18	37	37	0.000	0.176
chr1	41612	-	CHH	0.000	19.00	0	19	37	37	0.000	0.168
chr1	41613	-	CHH	0.000	19.00	0	19	37	37	0.000	0.168
chr1	41619	+	CHG	0.049	41.13	2	43	22	23	0.013	0.161
chr1	41621	-	CHG	0.040	25.00	1	25	43	43	0.007	0.195
chr1	41629	-	CHH	0.000	29.00	0	29	49	49	0.000	0.117
chr1	41636	-	CHH	0.071	28.00	2	28	51	51	0.020	0.226
chr1	41637	-	CHH	0.037	27.00	1	27	52	52	0.007	0.183
chr1	41639	-	CHH	0.071	28.00	2	28	51	51	0.020	0.226
chr1	41644	-	CHH	0.103	29.00	3	29	55	55	0.036	0.264
chr1	41650	-	CHH	0.031	32.00	1	32	60	60	0.006	0.157
chr1	41663	-	CHH	0.000	38.00	0	38	64	64	0.000	0.092
chr1	41664	-	CHH	0.000	39.00	0	39	64	64	0.000	0.090
chr1	41675	-	CHH	0.075	40.00	3	40	62	62	0.026	0.199
chr1	41678	+	CHH	0.095	63.00	6	63	37	37	0.044	0.193
chr1	41695	+	CG	0.048	62.00	3	62	35	35	0.017	0.133
chr1	41696	-	CG	0.026	39.00	1	39	62	62	0.005	0.132
chr1	41704	+	CG	0.017	57.31	1	59	34	35	0.003	0.092
chr1	41705	-	CG	0.000	38.00	0	38	59	59	0.000	0.092
chr1	41707	+	CHH	0.017	59.00	1	59	37	37	0.003	0.090
chr1	41709	+	CG	0.017	58.00	1	58	37	37	0.003	0.091
chr1	41710	-	CG	0.000	40.00	0	40	57	57	-0.000	0.088
chr1	41722	-	CHH	0.049	41.00	2	41	54	54	0.013	0.161
chr1	41727	+	CHH	0.079	50.51	4	52	34	35	0.031	0.187
chr1	41737	-	CHH	0.075	40.00	3	40	52	52	0.026	0.199
chr1	41739	-	CHH	0.103	39.00	4	39	53	53	0.041	0.236
chr1	41743	-	CHH	0.077	39.00	3	39	52	52	0.027	0.203
chr1	41748	-	CHH	0.081	37.00	3	37	50	50	0.028	0.213
chr1	41749	-	CHH	0.103	39.00	4	39	51	51	0.041	0.236
chr1	41761	-	CHH	0.056	36.00	2	36	48	48	0.015	0.181
chr1	41762	-	CHH	0.057	35.00	2	35	46	46	0.016	0.186
chr1	41765	-	CHH	0.000	31.00	0	31	43	43	-0.000	0.110
chr1	41767	-	CHH	0.033	30.00	1	30	43	43	0.006	0.167
chr1	41772	+	CHH	0.000	41.00	0	41	30	30	0.000	0.086
chr1	41776	+	CHH	0.000	38.00	0	38	28	28	0.000	0.092
chr1	41778	+	CG	0.000	37.00	0	37	26	26	0.000	0.094
chr1	41779	-	CG	0.076	26.25	2	27	35	36	0.021	0.239
chr1	41781	+	CHH	0.000	34.00	0	34	28	28	0.000	0.102
chr1	41784	-	CHH	0.071	28.00	2	28	32	32	0.020	0.226
chr1	41786	+	CHH	0.000	31.00	0	31	28	28	-0.000	0.110
chr1	41797	+	CHH	0.040	25.00	1	25	23	23	0.007	0.195
chr1	41804	+	CHH	0.053	19.00	1	19	20	20	0.009	0.246
chr1	41810	+	CHG	0.056	18.00	1	18	17	17	0.010	0.258
chr1	41812	-	CHG	0.125	16.00	2	16	17	17	0.035	0.360
chr1	41817	-	CHH	0.000	14.00	0	14	16	16	0.000	0.215
chr1	41818	-	CHH	0.000	14.00	0	14	16	16	0.000	0.215
chr1	41823	+	CHG	0.000	16.00	0	16	14	14	0.000	0.194
chr1	41825	-	CHG	0.000	13.12	0	14	15	16	0.000	0.226
chr1	41832	+	CHH	0.000	14.00	0	14	13	13	0.000	0.215
chr1	41836	-	CHH	0.083	12.00	1	12	12	12	0.015	0.354
chr1	41839	-	CHH	0.000	11.00	0	11	11	11	0.000	0.259
chr1	41840	+	CG	0.000	10.00	0	10	11	11	-0.000	0.278
chr1	41841	-	CG	0.000	11.00	0	11	10	10	0.000	0.259
chr1	41842	-	CHG	0.000	11.00	0	11	10	10	0.000	0.259
chr1	41844	+	CHH	0.000	10.00	0	10	11	11	-0.000	0.278
chr1	41850	-	CHH	0.000	12.00	0	12	11	11	0.000	0.243
chr1	41852	+	CHH	0.000	11.00	0	11	14	14	0.000	0.259
chr1	41861	+	CHH	0.000	9.00	0	9	15	15	0.000	0.299
chr1	41865	+	CHH	0.000	10.00	0	10	16	16	-0.000	0.278
chr1	41867	+	CG	0.000	10.00	0	10	14	14	-0.000	0.278
chr1	41868	-	CG	0.000	14.00	0	14	11	11	0.000	0.215
chr1	41872	-	CHH	0.000	14.00	0	14	11	11	0.000	0.215
chr1	41874	-	CHH	0.000	14.00	0	14	12	12	0.000	0.215
chr1	41880	-	CHH	0.000	15.00	0	15	11	11	-0.000	0.204
chr1	41881	+	CHH	0.000	11.00	0	11	15	15	0.000	0.259
chr1	41882	+	CHH	0.000	11.00	0	11	15	15	0.000	0.259
chr1	41884	+	CHH	0.000	12.00	0	12	15	15	0.000	0.243
chr1	41886	+	CHH	0.000	12.00	0	12	15	15	0.000	0.243
chr1	41892	+	CHH	0.000	11.29	0	12	16	17	0.000	0.254
chr1	41905	-	CHH	0.067	15.00	1	15	14	14	0.012	0.298
chr1	41906	+	CG	0.071	14.00	1	14	15	15	0.013	0.315
chr1	41907	-	CG	0.000	14.00	0	14	15	15	0.000	0.215
chr1	41912	+	CHH	0.000	15.00	0	15	14	14	-0.000	0.204
chr1	41916	-	CHH	0.067	15.00	1	15	15	15	0.012	0.298
chr1	41917	+	CHG	0.000	15.00	0	15	15	15	-0.000	0.204
chr1	41919	-	CHG	0.000	15.00	0	15	16	16	-0.000	0.204
chr1	41925	-	CHH	0.000	15.00	0	15	17	17	-0.000	0.204
chr1	41927	+	CHH	0.056	18.00	1	18	15	15	0.010	0.258
chr1	41929	+	CHH	0.056	18.00	1	18	14	14	0.010	0.258
chr1	41938	+	CHH	0.056	18.00	1	18	13	13	0.010	0.258
chr1	41941	+	CHH	0.056	18.00	1	18	13	13	0.010	0.258
chr1	41944	-	CHH	0.000	13.00	0	13	17	17	0.000	0.228
chr1	41945	+	CHH	0.059	17.00	1	17	13	13	0.010	0.270
chr1	41951	-	CHH	0.000	13.00	0	13	18	18	0.000	0.228
chr1	41953	+	CHH	0.000	19.00	0	19	13	13	0.000	0.168
chr1	41954	+	CHH	0.000	20.00	0	20	13	13	-0.000	0.161
chr1	41955	+	CHH	0.000	18.00	0	18	13	13	0.000	0.176
chr1	41966	+	CHH	0.105	19.00	2	19	12	12	0.029	0.314
chr1	41969	-	CHH	0.000	12.00	0	12	20	20	0.000	0.243
chr1	41971	-	CHH	0.000	12.00	0	12	20	20	0.000	0.243
chr1	41972	-	CHH	0.000	12.00	0	12	21	21	0.000	0.243
chr1	41973	-	CHH	0.000	12.00	0	12	20	20	0.000	0.243
chr1	41975	-	CHH	0.000	12.00	0	12	20	20	0.000	0.243
chr1	41976	-	CHH	0.000	12.00	0	12	19	19	0.000	0.243
chr1	41988	+	CHH	0.048	21.00	1	21	12	12	0.008	0.227
chr1	41994	-	CHH	0.091	11.00	1	11	21	21	0.016	0.377
chr1	41997	-	CHH	0.000	10.00	0	10	20	20	-0.000	0.278
chr1	42001	+	CHH	0.000	20.00	0	20	8	8	-0.000	0.161
chr1	42006	+	CHH	0.000	20.00	0	20	8	8	-0.000	0.161
chr1	42012	+	CHH	0.000	20.00	0	20	7	7	-0.000	0.161
chr1	42013	+	CHH	0.000	20.00	0	20	7	7	-0.000	0.161
chr1	42017	-	CHH	0.000	7.00	0	7	20	20	0.000	0.354
chr1	42022	-	CHH	0.000	7.00	0	7	19	19	0.000	0.354
chr1	42026	-	CHH	0.000	7.00	0	7	18	18	0.000	0.354
chr1	42029	+	CG	0.059	17.00	1	17	7	7	0.010	0.270
chr1	42030	-	CG	0.000	7.00	0	7	18	18	0.000	0.354
chr1	42031	+	CHH	0.000	17.00	0	17	6	6	0.000	0.184
chr1	42035	+	CHH	0.000	16.00	0	16	8	8	0.000	0.194
chr1	42039	+	CHH	0.000	15.00	0	15	7	7	-0.000	0.204
chr1	42042	-	CHH	0.000	6.00	0	6	14	14	0.000	0.390
chr1	42046	-	CHH	0.000	5.54	0	6	12	13	0.000	0.410
chr1	42049	+	CHH	0.000	9.17	0	11	5	6	0.000	0.295
chr1	42052	-	CHH	0.000	6.00	0	6	12	12	0.000	0.390
chr1	42054	+	CHH	0.000	11.00	0	11	5	5	0.000	0.259
chr1	42059	+	CHH	0.000	10.00	0	10	6	6	-0.000	0.278
chr1	42064	-	CHH	0.167	6.00	1	6	9	9	0.030	0.564
chr1	42066	-	CHH	0.000	5.00	0	5	9	9	-0.000	0.434
chr1	42070	+	CG	0.000	8.00	0	8	1	1	0.000	0.324
chr1	42071	-	CG	0.000	4.00	0	4	8	8	0.000	0.490
chr1	42079	-	CHH	0.250	4.00	1	4	7	7	0.046	0.699
chr1	42082	-	CHH	0.000	4.00	0	4	7	7	0.000	0.490
chr1	42083	-	CHH	0.000	4.00	0	4	7	7	0.000	0.490
chr1	42088	-	CHH	0.000	4.00	0	4	7	7	0.000	0.490
chr1	42090	+	CHH	0.000	7.00	0	7	4	4	0.000	0.354
chr1	42096	-	CHH	0.000	4.00	0	4	6	6	0.000	0.490
chr1	42097	-	CHH	0.000	4.00	0	4	6	6	0.000	0.490
chr1	42099	-	CHH	0.000	4.00	0	4	6	6	0.000	0.490
chr1	42102	-	CHH	0.250	4.00	1	4	5	5	0.046	0.699
chr1	42103	-	CHH	0.000	4.00	0	4	5	5	0.000	0.490
chr1	42108	-	CHH	0.000	5.00	0	5	4	4	-0.000	0.434
chr1	42109	+	CHH	0.000	4.00	0	4	5	5	0.000	0.490
chr1	42113	+	CHG	0.000	4.00	0	4	5	5	0.000	0.490
chr1	42115	-	CHG	0.000	2.50	0	5	2	4	-0.000	0.606
chr1	42117	-	CHH	0.000	3.75	0	5	3	4	-0.000	0.506
chr1	42120	+	CG	0.000	3.00	0	3	5	5	0.000	0.562
chr1	42121	-	CG	0.000	5.00	0	5	3	3	-0.000	0.434
chr1	42123	-	CHH	0.000	5.00	0	5	3	3	-0.000	0.434
chr1	42125	-	CHH	0.000	5.00	0	5	3	3	-0.000	0.434
chr1	42126	+	CHH	0.000	2.00	0	2	5	5	0.000	0.658
chr1	42129	-	CHH	0.000	5.00	0	5	2	2	-0.000	0.434
chr1	42131	-	CHH	0.000	5.00	0	5	2	2	-0.000	0.434
chr1	42133	-	CHH	0.000	5.00	0	5	2	2	-0.000	0.434
chr1	42134	-	CHH	0.000	5.00	0	5	2	2	-0.000	0.434
chr1	42136	+	CG	0.000	2.00	0	2	5	5	0.000	0.658
chr1	42137	-	CG	0.000	5.00	0	5	2	2	-0.000	0.434
chr1	42139	-	CHH	0.000	5.00	0	5	2	2	-0.000	0.434
chr1	42143	-	CHH	0.000	5.00	0	5	2	2	-0.000	0.434
chr1	42145	-	CHH	0.000	5.00	0	5	1	1	-0.000	0.434
chr1	42146	-	CHH	0.000	5.00	0	5	1	1	-0.000	0.434
chr1	42156	-	CHH	0.000	4.00	0	4	1	1	0.000	0.490
chr1	42157	-	CHH	0.000	2.00	0	4	1	2	0.000	0.658
chr1	42158	-	CHH	0.000	4.00	0	4	1	1	0.000	0.490
chr1	42163	-	CHH	0.000	4.00	0	4	2	2	0.000	0.490
chr1	42164	+	CHH	0.000	2.00	0	2	4	4	0.000	0.658
chr1	42165	+	CHH	0.000	2.00	0	2	4	4	0.000	0.658
chr1	42168	+	CHH	0.000	2.00	0	2	4	4	0.000	0.658
chr1	42173	-	CHH	0.000	3.00	0	3	2	2	0.000	0.562
chr1	42174	+	CHH	0.000	2.00	0	2	3	3	0.000	0.658
chr1	42177	-	CHH	0.000	3.00	0	3	2	2	0.000	0.562
chr1	42178	-	CHH	0.000	3.00	0	3	2	2	0.000	0.562
chr1	42179	+	CHH	0.000	2.00	0	2	3	3	0.000	0.658
chr1	42182	+	CHG	0.000	2.00	0	2	3	3	0.000	0.658
chr1	42184	-	CHG	0.000	3.00	0	3	2	2	0.000	0.562
chr1	42186	-	CHH	0.000	2.00	0	2	2	2	0.000	0.658
chr1	42189	-	CHH	0.000	2.00	0	2	2	2	0.000	0.658
chr1	42190	-	CHH	0.000	2.00	0	2	3	3	0.000	0.658
chr1	42194	-	CHH	0.000	2.00	0	2	3	3	0.000	0.658
chr1	42196	+	CHH	0.000	3.00	0	3	2	2	0.000	0.562
chr1	42206	+	CHG	0.000	3.00	0	3	2	2	0.000	0.562
chr1	42208	-	CHG	0.000	2.00	0	2	3	3	0.000	0.658
chr1	42212	+	CHH	0.000	3.00	0	3	3	3	0.000	0.562
chr1	42215	-	CHH	0.000	3.00	0	3	4	4	0.000	0.562
chr1	42217	-	CHH	0.000	3.00	0	3	4	4	0.000	0.562
chr1	42219	+	CHH	0.000	4.00	0	4	3	3	0.000	0.490
chr1	42223	-	CHH	0.000	3.00	0	3	4	4	0.000	0.562
chr1	42224	+	CHH	0.000	4.00	0	4	3	3	0.000	0.490
chr1	42225	+	CHH	0.500	4.00	2	4	3	3	0.150	0.850
chr1	42229	+	CHH	0.000	4.00	0	4	4	4	0.000	0.490
chr1	42233	+	CHH	0.000	5.00	0	5	4	4	-0.000	0.434
chr1	42235	+	CG	0.000	5.00	0	5	4	4	-0.000	0.434
chr1	42236	-	CG	0.000	4.00	0	4	6	6	0.000	0.490
chr1	42238	+	CHH	0.500	6.00	3	6	4	4	0.188	0.812
chr1	42241	-	CHH	0.250	4.00	1	4	7	7	0.046	0.699
chr1	42248	-	CHH	0.250	4.00	1	4	9	9	0.046	0.699
chr1	42251	-	CHH	0.250	4.00	1	4	10	10	0.046	0.699
chr1	42255	-	CHH	0.250	4.00	1	4	12	12	0.046	0.699
chr1	42257	+	CHG	0.308	13.00	4	13	4	4	0.127	0.576
chr1	42259	-	CHG	0.000	3.00	0	3	13	13	0.000	0.562
chr1	42265	+	CHH	0.333	15.00	5	15	4	4	0.152	0.583
chr1	42267	+	CHH	0.286	14.00	4	14	5	5	0.117	0.546
chr1	42271	-	CHH	0.000	5.00	0	5	14	14	-0.000	0.434
chr1	42274	+	CHH	0.267	15.00	4	15	5	5	0.109	0.520
chr1	42277	-	CHH	0.400	5.00	2	5	16	16	0.118	0.769
chr1	42279	-	CHH	0.000	6.00	0	6	17	17	0.000	0.390
chr1	42283	+	CHH	0.588	17.00	10	17	7	7	0.360	0.784
chr1	42289	-	CHH	0.664	7.53	5	8	16	17	0.329	0.889
chr1	42291	-	CHH	0.500	8.00	4	8	17	17	0.215	0.785
chr1	42292	-	CHH	0.286	7.00	2	7	17	17	0.082	0.641
chr1	42293	-	CHH	0.500	8.00	4	8	18	18	0.215	0.785
chr1	42294	+	CHH	0.667	18.00	12	18	8	8	0.437	0.837
chr1	42298	-	CHH	0.625	8.00	5	8	18	18	0.306	0.863
chr1	42300	+	CHH	0.650	20.00	13	20	8	8	0.433	0.819
chr1	42301	+	CHH	0.650	20.00	13	20	8	8	0.433	0.819
chr1	42304	+	CHH	0.650	20.00	13	20	7	7	0.433	0.819
chr1	42310	+	CHH	0.650	20.00	13	20	7	7	0.433	0.819
chr1	42314	-	CHH	0.500	8.00	4	8	21	21	0.215	0.785
chr1	42315	-	CHH	0.500	8.00	4	8	21	21	0.215	0.785
chr1	42317	+	CHH	0.571	21.00	12	21	9	9	0.365	0.755
chr1	42319	+	CHH	0.571	21.00	12	21	9	9	0.365	0.755
chr1	42323	+	CHH	0.500	22.00	11	22	9	9	0.307	0.693
chr1	42326	-	CHH	0.500	10.00	5	10	24	24	0.237	0.763
chr1	42329	-	CHH	0.556	9.00	5	9	26	26	0.267	0.811
chr1	42332	+	CHH	0.576	24.30	14	27	9	10	0.383	0.749
chr1	42337	+	CHH	0.517	29.00	15	29	11	11	0.344	0.686
chr1	42344	-	CHH	0.455	11.00	5	11	29	29	0.213	0.720
chr1	42353	+	CHH	0.412	34.00	14	34	13	13	0.264	0.578
chr1	42359	-	CHH	0.333	12.00	4	12	37	37	0.138	0.609
chr1	42371	-	CHH	0.267	15.00	4	15	40	40	0.109	0.520
chr1	42375	-	CHH	0.375	16.00	6	16	43	43	0.185	0.614
chr1	42376	-	CHH	0.312	16.00	5	16	44	44	0.142	0.556
chr1	42377	+	CHH	0.341	44.00	15	44	16	16	0.219	0.489
chr1	42379	+	CHH	0.364	41.25	15	44	15	16	0.234	0.516
chr1	42383	+	CHH	0.279	43.00	12	43	16	16	0.167	0.427
chr1	42388	-	CHH	0.389	18.00	7	18	45	45	0.203	0.614
chr1	42391	-	CHH	0.389	18.00	7	18	44	44	0.203	0.614
chr1	42393	-	CHH	0.368	19.00	7	19	45	45	0.191	0.590
chr1	42399	-	CHH	0.350	20.00	7	20	46	46	0.181	0.567
chr1	42400	-	CHH	0.400	20.00	8	20	45	45	0.219	0.613
chr1	42403	-	CHH	0.364	22.00	8	22	46	46	0.197	0.570
chr1	42408	+	CHH	0.140	43.00	6	43	23	23	0.066	0.273
chr1	42410	+	CHH	0.167	42.00	7	42	25	25	0.083	0.306
chr1	42414	-	CHH	0.200	25.00	5	25	42	42	0.089	0.391
chr1	42415	+	CHH	0.122	41.00	5	41	26	26	0.053	0.255
chr1	42419	-	CHH	0.154	26.00	4	26	42	42	0.061	0.335
chr1	42421	-	CHH	0.154	26.00	4	26	44	44	0.061	0.335
chr1	42422	+	CHH	0.091	44.00	4	44	26	26	0.036	0.212
chr1	42423	+	CHH	0.093	43.00	4	43	27	27	0.037	0.216
chr1	42430	+	CHH	0.098	41.00	4	41	27	27	0.039	0.225
chr1	42433	+	CHH	0.098	41.00	4	41	27	27	0.039	0.225
chr1	42435	+	CHH	0.122	41.00	5	41	26	26	0.053	0.255
chr1	42438	-	CHH	0.076	26.39	2	27	43	44	0.021	0.238
chr1	42439	+	CHH	0.116	43.00	5	43	27	27	0.051	0.245
chr1	42441	+	CHH	0.089	45.00	4	45	27	27	0.035	0.207
chr1	42443	+	CHH	0.091	44.00	4	44	28	28	0.036	0.212
chr1	42463	+	CHH	0.283	46.00	13	46	38	38	0.173	0.425
chr1	42471	-	CHH	0.125	40.00	5	40	43	43	0.055	0.261
chr1	42492	-	CHH	0.267	45.00	12	45	40	40	0.160	0.410
chr1	42495	+	CHH	0.282	39.00	11	39	46	46	0.165	0.438
chr1	42500	-	CHH	0.283	46.00	13	46	37	37	0.173	0.425
chr1	42506	-	CHH	0.283	46.00	13	46	32	32	0.173	0.425
chr1	42511	+	CHH	0.281	32.00	9	32	48	48	0.156	0.454
chr1	42514	+	CHH	0.281	32.00	9	32	48	48	0.156	0.454
chr1	42515	+	CHH	0.300	30.00	9	30	49	49	0.167	0.479
chr1	42520	-	CHH	0.366	46.45	17	48	30	31	0.243	0.510
chr1	42526	-	CHH	0.287	45.26	13	47	26	27	0.176	0.432
chr1	42529	-	CHH	0.247	44.44	11	48	25	27	0.144	0.391
chr1	42530	+	CHH	0.308	26.00	8	26	47	47	0.165	0.500
chr1	42532	+	CHH	0.280	25.00	7	25	47	47	0.143	0.476
chr1	42536	-	CHH	0.196	46.00	9	46	25	25	0.107	0.332
chr1	42539	-	CHH	0.170	47.00	8	47	22	22	0.089	0.301
chr1	42541	+	CHH	0.238	21.00	5	21	48	48	0.106	0.451
chr1	42546	+	CG	0.150	20.00	3	20	47	47	0.052	0.360
chr1	42547	-	CG	0.183	43.70	8	46	19	20	0.096	0.322
chr1	42555	+	CHH	0.105	19.00	2	19	46	46	0.029	0.314
chr1	42559	+	CHH	0.105	19.00	2	19	46	46	0.029	0.314
chr1	42562	-	CHH	0.114	44.00	5	44	18	18	0.050	0.240
chr1	42564	+	CHH	0.000	19.00	0	19	44	44	0.000	0.168
chr1	42567	-	CHH	0.047	43.00	2	43	18	18	0.013	0.155
chr1	42571	+	CHH	0.000	16.00	0	16	42	42	0.000	0.194
chr1	42577	-	CHH	0.025	40.00	1	40	16	16	0.004	0.129
chr1	42580	-	CHH	0.000	40.00	0	40	16	16	-0.000	0.088
chr1	42587	+	CHH	0.077	13.00	1	13	39	39	0.014	0.333
chr1	42592	-	CHH	0.000	38.00	0	38	8	8	0.000	0.092
chr1	42596	-	CHH	0.026	38.00	1	38	8	8	0.005	0.135
chr1	42601	+	CHH	0.257	7.78	2	8	36	37	0.074	0.601
chr1	42603	+	CHH	0.250	8.00	2	8	34	34	0.071	0.591
chr1	42604	+	CHH	0.286	7.00	2	7	34	34	0.082	0.641
chr1	42607	+	CHH	0.375	8.00	3	8	32	32	0.137	0.694
chr1	42615	-	CHH	0.062	32.00	2	32	5	5	0.017	0.201
chr1	42619	-	CHH	0.033	30.00	1	30	6	6	0.006	0.167
chr1	42620	-	CHH	0.033	30.00	1	30	7	7	0.006	0.167
chr1	42626	-	CHH	0.033	30.00	1	30	4	4	0.006	0.167
chr1	42629	+	CHH	0.000	4.00	0	4	31	31	0.000	0.490
chr1	42631	+	CHG	0.200	5.00	1	5	30	30	0.036	0.624
chr1	42633	-	CHG	0.069	29.00	2	29	5	5	0.019	0.220
chr1	42642	-	CHH	0.036	28.00	1	28	4	4	0.006	0.177
chr1	42645	+	CHH	0.000	4.00	0	4	27	27	0.000	0.490
chr1	42648	-	CHH	0.000	26.00	0	26	2	2	0.000	0.129
chr1	42651	-	CHH	0.000	26.00	0	26	2	2	0.000	0.129
chr1	42654	-	CHH	0.036	28.00	1	28	2	2	0.006	0.177
chr1	42662	-	CHH	0.000	30.00	0	30	3	3	-0.000	0.114
chr1	42667	+	CHH	0.000	2.00	0	2	30	30	0.000	0.658
chr1	42668	+	CHG	0.000	2.00	0	2	29	29	0.000	0.658
chr1	42670	-	CHG	0.033	30.00	1	30	2	2	0.006	0.167
chr1	42677	+	CHH	0.250	4.00	1	4	33	33	0.046	0.699
chr1	42682	+	CHH	0.000	5.00	0	5	34	34	-0.000	0.434
chr1	42690	+	CG	0.000	6.00	0	6	34	34	0.000	0.390
chr1	42691	-	CG	0.030	33.00	1	33	6	6	0.005	0.153
chr1	42693	-	CHH	0.029	35.00	1	35	6	6	0.005	0.145
chr1	42694	+	CHH	0.000	7.00	0	7	36	36	0.000	0.354
chr1	42701	-	CHH	0.050	40.00	2	40	9	9	0.014	0.165
chr1	42704	+	CHH	0.000	9.00	0	9	41	41	0.000	0.299
chr1	42707	-	CHH	0.053	38.00	2	38	9	9	0.015	0.173
chr1	42717	+	CHG	0.182	11.00	2	11	41	41	0.051	0.477
chr1	42719	-	CHG	0.024	41.00	1	41	13	13	0.004	0.126
chr1	42730	+	CHH	0.067	15.00	1	15	43	43	0.012	0.298
